,Words,AROU,VAL,DOM,CNC,IMAG
3668,play (stage performance),5.857,6.735,5.629,5.471,6.364
3565,periodical,2.719,4.758,4.533,3.941,3.229
2572,intellect,6.303,7.324,7.206,2.706,2.912
1253,culture,5.824,6.882,4.903,3.188,3.853
1657,emancipation,5.655,5.035,5.483,3.111,2.357
831,chasm,5.72,4.036,4.778,4.269,4.115
2784,legend,5.794,7.618,6.412,3.546,3.485
1335,decree,3.387,4.647,5.147,3.71,3.677
2846,linear,3.194,5.5,4.618,3.857,3.971
238,arse,5.094,3.971,5.667,6.0,6.294
2617,jaguar,6.5,5.909,5.516,6.546,6.515
3768,practice,4.844,6.212,6.529,3.531,3.914
2865,live (to exist),6.758,7.914,7.118,4.091,4.353
2505,impulse,6.636,5.546,5.5,3.033,2.667
3240,neglect,4.576,1.571,3.188,2.794,4.057
2974,mansion,5.969,6.645,6.719,6.621,6.419
1001,combat,5.286,3.382,5.515,4.853,4.429
1491,dizzy,4.839,3.516,3.531,3.0,3.875
4355,shaft,5.065,4.727,4.774,5.5,5.156
1888,figure (body shape),5.677,5.606,4.618,5.229,6.029
1412,diabetes,4.625,2.333,3.219,4.333,2.546
957,coach,3.941,5.6,5.771,5.912,5.8
4001,rebound,4.714,3.943,4.912,2.941,3.606
2915,lubricate,5.727,5.206,5.091,4.813,4.333
3968,rank (position),4.152,5.088,6.171,3.882,3.353
4650,stagecoach,2.912,5.061,4.818,5.758,5.576
5333,vitamin,4.613,6.546,5.606,5.677,5.125
2677,kick,5.71,3.182,5.714,5.581,5.829
4437,sink,2.813,4.636,4.633,6.167,6.333
1558,drill,4.441,4.273,5.719,6.314,6.353
1034,compute,3.914,5.686,5.5,3.571,3.281
2620,jam,3.576,5.531,5.387,6.1,6.355
931,closure,4.242,6.0,5.313,2.771,3.029
5069,tosser,5.333,2.265,5.061,3.469,4.324
3698,point,4.094,4.857,5.441,4.903,4.629
633,brute,4.735,3.0,4.5,4.03,4.353
1513,doorman,3.429,4.943,4.529,6.471,6.324
498,blubber (cry),3.853,2.636,3.5,4.03,5.706
1544,drawing,4.771,6.029,5.265,5.735,5.771
415,befall,3.758,3.968,3.807,2.625,2.833
3297,nut (bolt),3.0,4.794,4.971,6.353,6.242
2833,like (love),6.735,7.706,5.5,2.941,3.824
2277,hammer,4.829,4.629,5.571,6.657,6.629
1407,devil,5.906,2.25,4.182,2.968,5.067
757,case (container),2.727,5.061,4.667,6.563,5.909
1703,entrepreneur,5.53,6.672,6.424,4.576,3.877
1041,conceptual,4.8,5.452,5.75,1.939,2.031
2819,lies (untruths),4.936,1.788,4.088,3.029,3.029
2685,killed,5.029,1.743,3.714,5.0,5.143
2678,kidnap,5.364,1.515,3.618,4.697,5.364
1743,examination,5.618,3.471,4.091,5.457,5.559
596,breasts,5.941,6.371,5.647,6.529,6.559
1893,file (record),3.063,4.794,4.939,5.242,5.182
5330,vision (dream),6.625,6.906,5.4,2.656,4.438
5054,toothache,5.03,2.235,3.242,4.719,3.849
652,bungalow,3.091,5.121,5.242,6.303,6.424
1902,financial,4.118,5.114,4.455,3.697,3.849
1411,devotion,5.914,7.743,4.829,2.588,3.235
4091,reunion,5.375,6.667,5.375,3.484,3.969
2487,immunity,4.571,6.485,5.818,3.471,2.667
4845,survive,6.235,7.143,6.147,3.152,3.686
2459,hymn,3.0,5.088,4.571,4.829,4.229
75,adultery,5.912,1.882,4.412,4.029,4.235
2770,lean (skinny),4.758,5.212,4.424,4.455,5.281
3114,mistress,5.441,3.455,5.118,5.242,5.412
3816,professional,6.0,7.257,7.0,3.886,3.971
5081,toxin,5.353,2.471,4.147,5.03,3.941
1844,fast (quick),6.091,6.273,6.156,3.515,4.727
4589,spell,4.469,5.514,5.441,3.857,3.771
1730,even,3.429,5.853,5.171,3.235,2.914
2145,glasses (drinks),4.714,5.647,5.588,6.314,6.457
3585,pet,5.5,6.828,5.467,5.552,6.0
1010,command,5.613,4.188,6.063,2.909,3.484
1029,complex (difficult),5.394,3.813,4.457,3.032,2.788
1721,escapee,6.177,3.824,5.212,5.424,4.794
828,charm (lucky),6.412,7.588,5.147,3.294,4.853
3653,planet,5.514,6.371,4.324,5.941,6.206
96,after,4.382,5.143,4.576,3.314,2.743
4382,sherry,4.71,5.357,4.677,6.333,5.179
4265,scream,6.857,2.543,4.912,4.794,5.412
2955,major,5.645,5.879,6.313,3.273,3.242
621,broccoli,4.219,5.969,5.069,6.655,6.778
566,box,3.258,4.844,4.936,6.29,6.313
543,born,5.161,6.71,4.516,4.3,4.258
1614,earthquake,6.118,2.171,4.029,6.114,6.114
51,actor,5.515,6.281,5.618,5.7,5.97
2699,kite (bird),4.094,5.794,5.265,6.471,5.563
4710,stink,4.743,2.529,4.829,3.971,3.514
745,careful,4.152,6.147,4.5,3.147,3.0
3914,quantum,4.571,5.5,4.182,2.875,2.121
1694,enraged,6.686,2.171,5.686,3.143,4.371
1426,digits,3.424,4.943,4.882,5.057,4.829
195,appliance,3.364,5.257,5.242,5.353,5.057
1224,crossed,3.636,4.147,4.794,3.758,3.647
5285,veins,4.0,5.387,4.867,6.161,6.097
3493,passageway,3.5,5.235,5.0,5.588,5.514
802,cervix,4.5,5.394,5.091,6.121,5.455
3691,plural,3.677,5.226,4.931,3.485,2.677
5164,truck,3.677,4.706,4.849,6.697,6.563
2006,foxes,5.0,5.375,4.733,6.741,6.793
3641,pitch (musical),5.528,5.75,5.091,3.829,2.912
3933,rabbi,3.839,4.909,4.813,5.303,5.156
4309,send,3.882,5.485,5.667,3.735,3.606
1297,darkness,5.333,2.647,3.088,4.706,5.912
3306,nuts (crazy),5.971,3.314,3.886,2.543,4.229
644,bulge,4.333,4.0,4.758,5.125,5.75
1468,disparity,3.433,3.125,3.667,2.172,2.161
4167,rubble,4.313,3.788,4.936,6.032,5.938
4661,stammer,4.344,3.719,3.133,4.3,3.5
120,alert,6.625,5.719,6.194,3.182,3.387
2517,index,3.156,4.807,4.469,4.455,4.438
5033,toast,4.656,6.294,5.794,6.344,6.758
2337,heal,4.088,7.647,5.412,3.677,4.818
4467,slap,5.471,2.529,5.188,5.697,5.912
2646,jolly,5.886,7.765,6.156,3.371,4.686
2380,highway,3.824,4.939,5.353,6.353,6.382
5370,wand,5.774,6.25,6.063,5.967,6.103
2698,kite,5.057,6.118,5.235,6.382,6.6
2794,lemonade,4.688,6.419,5.724,6.29,6.241
134,aloof,4.4,4.2,5.097,2.138,3.172
3014,matrix,5.273,5.235,4.563,2.849,3.25
4328,sermon,2.818,4.516,4.212,4.265,4.226
3062,metre,3.0,4.969,4.758,5.219,5.273
1557,drifting,4.219,4.5,4.03,3.147,4.118
3950,rain,4.636,3.971,4.029,6.294,6.529
511,boastful,4.061,3.171,6.969,3.088,4.2
62,address,3.206,5.382,5.364,5.059,4.343
3265,nipple,5.758,5.879,5.059,6.559,6.618
5091,tractor,3.382,5.324,5.371,6.588,6.706
2802,letter (alphabet),2.576,5.485,5.515,5.212,5.909
3519,peal,3.394,5.147,5.212,4.677,4.324
3692,poach,4.188,3.469,4.9,3.438,3.25
122,alien,5.091,4.686,4.2,4.324,5.824
5517,wrench,3.1,4.233,5.379,5.867,5.839
3536,peg,2.794,5.059,5.235,6.265,6.177
3007,matches,4.375,4.939,5.452,6.156,6.333
2741,landscape,5.03,6.364,5.697,5.714,6.177
1210,criticism,5.0,2.758,3.156,3.031,2.813
567,box (container),2.618,5.147,4.571,6.429,6.294
4841,surprise,7.353,7.088,3.647,3.152,4.469
3916,quarry,3.931,5.031,4.931,6.0,5.733
864,chip,4.094,5.824,5.094,5.971,6.303
4210,salvaged,5.0,5.6,5.088,3.794,3.606
3867,puke,3.061,2.032,3.065,5.844,6.29
3153,moth,3.394,4.0,4.813,6.625,6.8
1507,dome,3.406,5.188,4.807,5.867,6.03
1371,description,4.086,5.6,5.546,3.0,2.857
720,cane,4.031,4.235,4.594,6.546,6.529
5057,top (apex),4.516,6.531,6.406,4.833,4.742
2488,impact,5.516,4.688,5.742,3.871,3.97
690,cacti,4.371,4.794,4.914,6.743,6.471
602,bridal (horse),3.546,5.029,5.061,6.063,5.636
1438,direct,5.088,6.0,6.758,4.029,3.353
1732,even (still),3.486,5.063,5.333,3.69,3.441
3551,penthouse,5.853,6.219,6.114,5.967,6.121
1580,duck (crouch),3.941,4.514,4.636,4.486,4.943
3664,plate,3.065,5.207,5.152,6.484,6.667
4176,ruler (measure),2.765,4.971,5.143,6.314,6.514
318,bail,3.613,3.657,4.371,3.912,3.229
2680,kidney,3.371,5.543,4.886,6.371,5.829
274,atrocity,4.971,1.515,3.903,3.194,3.441
4781,stylish,5.743,7.086,6.029,3.171,4.2
1397,determine,5.177,6.286,6.879,2.882,2.914
5055,toothbrush,2.765,5.559,6.265,6.765,6.824
1786,extreme,6.781,4.594,5.452,2.75,3.125
3001,masturbate,6.333,5.212,5.914,5.412,5.5
5222,unit (measure),2.941,4.971,4.914,4.882,4.088
4372,sheep,3.719,5.484,4.226,6.808,6.867
5355,wagon,3.71,5.035,5.258,6.323,6.063
295,avalanche,6.625,2.781,4.129,6.033,5.964
4837,surge,5.906,4.968,6.3,4.2,3.697
5360,waitress,3.727,5.813,5.286,6.5,6.4
298,award,6.294,7.941,6.588,5.618,5.647
68,admiral,5.029,5.882,6.613,5.706,5.606
736,capture,5.485,3.114,4.824,4.235,4.914
4689,steer,4.303,5.121,5.706,4.177,4.382
1553,dressed,4.364,6.273,5.879,4.938,5.606
3469,parcel,5.429,6.0,5.353,5.788,6.314
150,amplify,5.97,5.758,6.455,3.879,3.531
756,case,3.179,5.06,4.846,5.53,5.403
5023,timid,3.936,3.094,2.833,2.968,3.516
3253,neural,4.539,5.7,5.367,4.138,3.138
3220,nation,4.618,5.857,4.5,4.2,4.647
2422,horrible,4.742,1.688,3.807,2.531,2.719
5245,urine,2.971,4.257,4.971,6.4,6.4
376,bassoon,4.138,5.444,5.375,6.667,5.24
1894,file (tool),2.871,5.0,5.323,6.633,6.125
859,child,4.226,6.194,3.677,6.167,6.621
2516,independent,6.939,7.697,7.936,3.0,3.258
5287,venom,5.353,2.576,4.546,4.8,4.457
1867,festival,7.206,7.429,6.059,5.455,6.235
378,bastards,5.031,2.194,5.0,3.303,2.677
1890,figure (number),3.226,4.807,5.0,4.813,5.563
1294,dapper,5.533,6.839,5.871,2.875,4.133
2856,listless,3.219,4.063,4.25,2.807,3.0
4505,smile,7.156,8.303,6.839,5.844,6.576
3690,plump,4.121,4.559,4.849,4.235,5.371
4575,spanner,2.75,4.875,5.581,6.719,6.688
3066,microphone,4.294,5.353,5.765,6.529,6.6
841,cheese,5.258,6.033,5.167,6.704,6.586
2222,gravel,3.194,4.656,4.933,6.345,5.903
4050,remind,3.382,5.394,5.147,3.059,2.235
175,antelope,4.086,5.714,5.229,6.4,6.529
1498,document,3.25,5.0,5.588,6.059,6.091
927,clone,5.129,4.125,3.414,4.194,4.125
5106,tram,3.576,5.0,4.581,6.742,6.367
45,acorn,4.364,5.742,5.5,6.724,6.517
1260,currant,3.771,5.257,5.171,5.559,5.5
1096,convent,3.226,4.273,3.097,4.875,4.767
4588,speedy,5.771,6.4,6.235,3.941,4.273
1662,emerald,5.767,6.273,5.313,5.9,6.161
5299,vestibule,3.25,5.0,5.208,5.208,4.609
3621,pimp,4.2,2.879,5.057,5.559,5.5
1030,complicated,5.242,3.324,4.029,2.6,3.343
5329,vision,4.844,6.629,5.471,4.294,4.0
4295,seduce,7.5,6.063,6.061,2.546,3.613
2177,goodness,6.344,8.281,5.969,2.406,2.774
283,attraction,7.206,7.677,6.0,2.629,3.824
2154,gloomy,2.936,2.688,3.839,3.161,5.344
2142,glanced,4.265,5.059,5.118,4.091,4.265
4558,sorrow,3.657,2.061,3.6,2.765,3.6
1965,follow,3.906,4.879,3.706,3.438,3.735
5551,zoo,5.909,6.235,5.485,6.118,6.441
4217,satire,4.5,5.233,5.303,2.788,2.516
3986,rattlesnake,5.469,3.531,3.5,6.656,6.467
3473,park (public land),5.057,6.543,5.429,6.5,6.588
3832,pronoun,3.324,5.257,4.771,3.794,2.6
3750,posture,4.03,6.156,6.177,5.0,4.969
4975,theology,4.226,5.03,3.939,2.5,2.71
1881,field,3.697,5.375,5.125,6.182,6.625
2251,guard,5.273,5.0,4.879,5.29,5.563
3299,nut (food),3.875,5.697,6.0,6.406,6.758
2718,knuckle,4.059,4.571,5.771,6.438,6.03
1437,dire,3.71,2.281,4.212,2.719,2.344
4379,shell (military),5.147,3.559,5.636,5.914,5.765
5062,torch (flashlight),4.294,5.912,5.824,6.824,6.714
257,assist,4.758,6.647,6.182,3.441,3.344
507,board (executive),3.303,4.909,5.97,4.939,4.849
2960,malice,5.394,2.441,4.735,2.788,2.625
99,aged,2.857,3.879,3.849,3.441,4.371
4535,softly,4.727,6.485,4.882,3.177,3.559
1617,easygoing,4.563,7.576,5.667,2.879,3.546
5289,verb,3.455,5.29,5.613,3.563,2.531
3352,office,3.613,4.485,4.515,6.25,6.484
1501,dogma,5.192,3.357,2.815,2.107,2.071
5401,wealth,6.25,7.235,5.906,3.788,4.697
1924,flabby,3.344,2.813,3.516,5.091,5.938
4004,recital,3.849,5.606,4.939,4.485,4.375
2144,glasses,3.824,5.588,5.03,6.765,6.5
4547,solution,4.879,7.394,6.706,3.121,3.125
366,baroque,4.539,5.04,4.958,4.042,3.583
2780,leg,4.5,5.371,5.686,6.543,6.657
2805,letters (alphabet),3.515,5.303,5.441,5.688,6.156
4304,select (elite),4.939,4.968,5.375,2.788,3.303
5535,yeast,3.219,4.613,4.938,5.531,4.594
949,clueless,3.364,3.324,3.576,2.294,2.441
5194,twin,4.147,5.571,4.714,6.057,6.029
19,abstract,4.743,5.294,4.914,1.714,2.171
1945,flourish,6.5,7.543,6.059,3.029,3.941
668,bury,3.882,3.171,4.029,4.714,5.206
218,arm (limb),3.5,5.583,5.941,6.694,6.882
5250,usher,3.857,4.8,4.265,4.588,4.571
2309,harmony,5.406,7.849,5.625,2.9,3.031
2170,gold,6.471,7.429,6.212,6.515,6.677
4821,sunset,5.886,7.472,4.824,6.0,6.714
585,brave,6.529,7.879,7.412,2.629,3.629
3392,organised,4.818,7.147,7.0,3.412,4.257
3010,mate (friend),6.147,7.706,6.235,5.727,5.909
4241,scared,5.353,2.647,2.606,2.912,4.364
777,catch (romantic),6.412,7.429,5.25,3.0,3.903
4416,shudder,5.333,3.281,3.939,3.813,4.29
1018,comparison,4.382,4.97,5.424,2.97,3.0
4002,recall,4.156,5.406,5.781,3.333,3.294
2763,lead (heavy metal),3.2,4.371,5.114,6.543,5.457
1669,empire,5.943,5.343,5.743,4.588,4.371
5201,typhoon,6.455,3.25,3.875,6.25,6.281
2973,manner,3.235,5.8,4.657,3.314,2.765
3125,mole (skin),3.0,4.206,4.412,6.171,6.086
517,bollocks,5.0,3.235,5.971,5.143,5.029
1837,farewell,3.647,3.909,4.324,3.088,3.971
1957,foggy,3.813,4.094,4.258,4.839,5.467
3700,point (finger),4.849,3.941,5.971,5.206,5.912
217,arm,3.735,5.471,5.774,6.727,6.571
1421,digestion,3.25,5.939,4.441,5.281,5.029
2611,itchy,5.531,3.03,3.452,3.606,3.636
5077,towel,3.419,5.8,5.69,6.724,6.724
5509,worthy,4.8,7.206,6.029,2.882,2.824
2598,iron (press),2.912,4.857,4.943,5.743,6.353
1052,confer,3.645,5.733,5.455,3.161,3.063
1684,engaged,5.909,6.588,5.576,3.879,4.914
759,case (legal),3.735,3.765,4.647,4.353,4.121
4810,sulky,2.97,3.061,4.273,2.75,4.212
2836,limb,3.588,5.0,5.0,6.371,6.114
214,arise,5.286,6.0,6.171,3.143,3.257
1578,duck (bird),3.121,5.788,5.031,6.788,6.849
3836,prophet,5.065,6.088,4.8,3.903,3.903
4325,serene,4.903,6.964,5.6,2.793,3.448
5217,unicorn,6.03,7.257,4.813,4.242,5.871
4255,scissors,4.657,4.429,5.543,6.735,6.543
2410,honour,6.471,7.853,6.971,2.147,3.147
196,applied,3.758,5.839,5.742,2.727,2.188
1533,draft (first version),3.177,5.382,5.618,5.088,4.471
2962,mall,3.807,4.788,4.719,6.0,5.5
2706,kneel,4.455,5.147,4.286,5.657,5.743
4072,resentful,4.706,1.97,4.03,2.765,3.343
1056,confide,5.029,6.636,5.543,2.6,2.735
1891,figure (reckon),3.455,5.091,5.6,2.706,2.514
887,circulate,3.941,5.4,5.273,3.371,3.829
4108,rhythm,6.4,6.794,5.727,3.486,3.457
4476,slight,3.25,4.849,4.125,3.324,3.118
5542,young,5.469,6.645,4.031,3.781,4.438
568,box (sport),4.212,4.235,6.03,5.394,6.0
3705,poker,4.882,4.514,5.147,5.912,6.029
3537,pelt,4.839,4.121,5.258,5.406,4.5
1467,dismiss,3.576,3.212,4.344,3.406,3.0
5199,type (typeface),2.75,5.281,5.033,4.548,4.194
139,amateur,3.824,4.147,3.657,3.229,3.086
1606,dynamite,7.594,3.788,5.125,6.433,6.219
2700,kite (toy),5.235,6.794,5.882,6.429,6.514
1149,couple (a few),4.059,5.229,5.229,4.314,4.886
2095,gaunt,4.03,3.433,4.655,4.035,4.6
4750,street,3.656,5.313,5.152,6.394,6.0
5389,waste,3.559,2.177,4.212,4.324,5.353
463,bizarre,6.156,4.758,4.844,2.129,2.871
2859,litter,3.257,3.257,5.086,5.824,6.029
2671,key (crucial),5.0,6.677,5.871,3.182,2.774
4623,spree,6.067,4.733,5.931,3.033,3.065
594,breakfast,5.029,5.857,5.588,5.853,6.294
2658,jumper,4.097,5.533,4.909,6.25,6.125
450,bird,4.862,6.281,6.133,6.633,6.778
2323,hawk,5.576,5.344,5.939,6.727,6.303
4691,steer (direct),4.094,5.563,6.645,3.909,3.576
4694,stem (plant),3.0,5.273,5.294,6.091,6.152
3303,nutritious,4.588,7.457,5.429,4.294,3.588
2972,mankind,5.424,6.097,5.152,3.394,3.219
1752,exclusion,4.029,2.571,3.6,3.618,4.057
1550,dress (formal),5.688,6.645,5.625,5.031,5.875
2284,handbag,4.485,5.727,5.182,6.485,6.844
1174,cradle,4.143,6.314,4.029,5.971,6.029
3893,purse,4.813,5.581,5.125,6.536,6.633
451,birth,5.471,7.265,4.25,5.849,6.059
4671,star (sky),5.6,7.235,5.086,6.0,6.743
3666,play,6.829,7.543,6.765,4.171,4.686
3590,pharmacist,3.471,6.294,4.485,6.412,6.086
4216,sapphire,5.813,6.788,5.424,6.333,6.333
2465,ideal,5.824,7.387,5.818,2.807,2.273
1263,curry,5.088,5.849,5.242,6.529,6.529
5200,typewriter,3.485,5.394,5.485,6.667,6.455
999,column,3.242,5.294,5.656,5.824,5.636
3258,news,4.909,4.75,3.813,3.719,3.758
4604,spirit (ghost),5.636,4.088,4.118,2.912,4.765
5507,worst,4.121,1.829,3.844,2.412,2.457
192,apple,4.677,6.147,5.485,6.824,6.909
4348,sex (intercourse),7.485,7.485,6.323,6.242,6.313
5003,throat,3.886,5.057,5.457,6.457,6.543
4638,squat (short),3.353,4.364,4.588,4.265,4.849
1702,entitle,4.364,5.387,6.194,2.909,2.849
4690,steer (cows),3.172,5.333,5.407,5.138,5.214
4915,target,5.594,5.212,5.455,5.303,5.794
1338,deed,4.0,5.364,5.188,3.943,3.294
2473,ignore,3.677,2.765,5.118,3.059,3.546
3132,monarchy,3.742,4.419,3.807,5.394,5.576
5121,tray,2.914,4.909,5.029,6.514,6.171
4867,sweetheart,6.029,7.242,4.765,3.735,4.647
1293,dangle,4.485,4.485,4.406,3.0,3.656
5025,tiny,3.969,4.636,3.936,3.424,4.438
4651,stagnant,3.069,3.071,3.857,3.267,3.452
1992,fort,5.029,5.714,6.265,6.171,6.206
2299,happiness,6.97,8.571,6.273,2.971,5.265
5109,trance,5.061,5.088,3.5,3.091,3.441
3646,pizza,6.188,7.033,5.633,6.72,6.741
368,barrel,3.333,4.939,5.061,6.636,6.469
2313,harp (pick on),4.849,4.606,4.618,4.636,4.735
1151,courage,7.206,8.143,7.758,2.4,3.697
3505,patient,3.971,6.677,5.091,4.086,4.618
5461,wing,4.125,5.485,5.419,6.03,6.156
3077,mild,2.75,5.531,3.936,3.531,3.212
5459,window,3.636,5.486,5.0,6.743,6.686
191,applause,6.686,7.8,6.686,5.6,5.914
4239,scare,6.688,2.656,3.677,2.813,3.697
108,aid,5.219,6.909,5.031,4.364,4.097
3053,mermaid,6.194,6.0,5.281,4.069,5.968
2903,loud,5.588,4.4,5.588,4.324,3.849
3322,objective,4.235,5.546,5.735,2.794,2.853
1360,demolish,6.147,2.889,5.2,5.167,5.471
1745,excellence,6.657,8.457,6.6,2.824,3.441
4840,surplus,4.032,5.182,5.029,3.219,3.818
5403,weapon,5.188,2.344,5.129,6.469,6.156
2437,hover,4.618,5.031,5.581,4.061,4.625
5313,vile,5.594,1.788,3.656,2.242,2.75
2751,latent,2.867,4.414,4.2,3.097,2.8
3309,nylon,3.677,5.273,4.906,5.429,4.882
476,blender,4.258,5.2,5.333,6.533,6.3
1586,dummy (idiot),3.229,2.143,3.938,3.457,4.788
4144,rocket (go quickly),6.371,6.057,6.657,3.886,5.057
3870,pull (drag),3.849,4.029,5.118,4.559,4.636
312,bacteria,4.059,3.471,3.853,5.618,4.824
508,board (wooden),2.857,4.857,4.943,6.543,6.265
166,animals,5.807,6.939,5.576,6.406,6.706
4168,ruby,4.941,6.4,5.486,5.909,6.333
3586,petal,4.114,6.943,5.171,6.206,6.647
2357,helpless,4.147,2.273,2.406,2.71,3.344
1024,complement,6.394,7.364,5.171,2.8,3.6
1221,cross (offend),4.879,2.824,4.546,2.879,2.879
3185,murder,5.871,1.531,4.161,5.469,5.5
1119,cornered,4.829,2.543,2.29,3.771,4.177
1937,flight,5.886,5.943,5.371,5.294,5.818
5000,thrifty,5.065,5.849,6.061,2.938,2.879
4528,socialist,4.742,5.29,5.188,3.233,3.367
2760,lazy,2.939,3.029,5.118,3.735,4.788
3033,medallion,4.424,5.941,5.697,6.114,6.265
2341,heard,4.1,5.438,5.152,3.706,3.375
2351,heel,3.514,5.143,5.057,6.371,6.314
4960,terror,5.794,1.677,3.118,2.853,4.353
1780,export,4.0,5.242,5.235,3.375,3.353
1835,fare (charge),3.25,3.75,3.667,4.879,3.97
1562,drive (car),5.529,5.886,6.514,5.818,6.177
3634,pipe,3.364,4.743,5.257,6.429,6.4
152,amuse,6.059,7.412,6.0,2.879,3.688
2231,green (naive),3.839,3.968,4.094,2.833,2.688
3102,miraculous,6.412,7.618,5.559,2.265,2.559
5208,unbelievable,6.441,5.353,4.242,1.886,2.273
2458,hydrant,3.576,5.029,4.771,6.0,5.4
725,canoe,3.886,5.6,5.242,6.697,6.758
1926,flask,4.103,5.345,5.241,6.667,6.5
1503,doll,3.515,5.765,4.618,6.371,6.4
2210,grape,4.5,5.933,5.233,6.567,6.714
4741,strangle,5.514,1.735,4.242,5.4,6.088
4593,spelling,3.4,5.371,5.314,3.735,3.514
5351,voyage,6.629,6.686,6.529,4.353,5.424
3295,nurture,4.849,7.177,5.618,3.257,3.636
3017,mauve,3.758,5.121,4.909,4.094,4.968
31,acceptance,4.743,7.5,5.943,2.794,2.559
1225,crow,3.469,4.613,5.29,6.656,6.727
937,cloud (spoil),3.0,3.156,3.818,3.645,4.063
5339,volcano,7.563,3.968,4.387,6.931,6.76
752,carriage,4.182,5.677,5.156,6.303,6.387
4556,soothing,4.771,7.629,4.571,3.229,3.543
309,baby,4.29,6.594,4.313,6.607,6.593
4765,strip (narrow piece),3.5,4.912,4.529,5.353,4.758
2100,gazelle,5.531,5.853,5.219,6.303,6.419
3830,promotion,5.588,7.394,6.588,4.114,3.971
1912,fireworks,7.313,7.273,6.094,6.485,6.839
3080,mileage,3.742,4.515,4.939,4.419,3.242
3620,pilot,4.774,6.0,4.939,6.546,6.531
495,blow (hit),5.438,2.697,4.774,5.281,5.667
1405,deviation,4.576,4.441,4.844,2.849,2.909
3733,port (harbour),3.546,5.546,4.969,6.364,5.886
205,aptitude,4.5,5.939,6.118,2.818,2.03
1434,dinosaur,5.771,5.4,5.412,6.371,6.824
1135,cough,4.059,3.686,4.457,5.829,5.765
5343,volume (loudness),6.029,5.029,6.229,4.286,3.6
868,chocolate,7.0,7.829,5.471,6.5,6.853
701,call,4.794,5.286,6.063,4.441,4.576
305,awkward,5.0,3.118,3.031,2.844,3.333
3137,month,3.343,5.286,4.765,4.057,3.4
1192,creature,5.133,5.281,5.267,5.394,5.194
4381,shelter,3.829,6.559,5.143,5.206,5.514
2369,heroine,6.212,6.088,6.206,5.029,5.758
1534,drag,3.794,3.714,3.941,4.206,4.714
1061,conform,3.647,3.529,2.943,2.765,3.471
843,chef,4.677,5.912,5.667,6.618,6.486
4456,skirt,5.061,5.909,5.515,6.879,6.688
4783,subject,3.546,4.971,4.697,3.912,3.543
1538,draw,4.697,6.029,6.257,4.971,5.424
211,archive,3.571,5.4,5.0,5.429,4.371
1340,deer,4.344,5.839,5.156,6.667,6.767
1108,copy,3.394,4.333,4.156,3.879,4.455
4332,service,3.853,5.971,4.697,3.857,3.057
679,butler,3.781,4.735,4.794,5.656,6.147
4885,syringe,5.469,3.438,3.645,6.552,6.4
3593,pheasant,3.031,4.941,4.735,6.618,6.177
565,bowl,3.0,5.212,5.324,6.546,6.424
4370,shawl,3.936,5.233,4.613,6.452,5.852
1532,draft (breeze),3.515,4.788,4.424,4.563,4.546
4256,scoop,3.97,5.394,4.906,4.6,4.8
680,butt,5.467,4.607,4.742,6.387,6.125
180,anxiety,5.265,2.257,2.313,2.618,4.057
3254,neurotic,4.849,3.061,3.941,2.625,3.03
1779,explorer,6.212,6.606,6.457,5.743,5.412
2842,limited,4.161,3.273,3.03,2.455,2.469
4738,strand,3.382,4.941,4.257,4.882,4.559
278,attendant,3.771,5.029,4.8,5.829,5.086
1876,fictitious,5.0,4.367,4.179,2.516,2.636
3370,opposition,5.057,3.412,4.677,3.853,3.853
1204,criminal,5.353,2.029,4.314,5.143,5.265
1879,fiddle (violin),4.818,5.794,5.094,6.546,6.647
432,bench,2.677,5.257,5.029,6.6,6.606
289,auditorium,4.382,5.313,5.061,6.455,6.061
1027,complex (behaviour),5.206,4.265,5.324,2.206,2.294
535,boost,5.588,7.059,6.529,3.324,2.824
3515,peace,4.879,8.647,6.059,2.563,4.0
993,collate,3.546,5.219,5.276,2.906,2.71
1187,crayon,4.265,5.727,5.657,6.457,6.571
188,appear,4.406,5.656,5.172,2.75,3.094
3407,outrage,5.794,2.371,5.6,3.2,4.657
5396,wave,6.061,6.324,5.559,5.6,6.265
2233,grenade,5.343,2.412,5.531,6.333,6.114
5183,tune,5.742,6.469,5.387,4.094,3.156
706,camel,4.469,5.516,5.4,6.807,6.633
1720,escaped,5.813,5.576,5.606,3.939,4.906
270,atom,4.171,5.6,4.324,5.485,3.765
5397,wave (gesture),4.818,6.455,6.2,5.429,6.265
4537,soil (earth),3.606,5.333,5.382,6.286,6.177
2329,head,4.343,5.971,6.171,6.514,6.543
3269,none,3.0,4.114,4.4,3.457,3.029
3801,prior,2.781,4.97,4.807,3.156,2.5
4786,submarine,4.5,5.121,4.594,6.655,6.588
4318,sensual,6.882,7.364,6.344,3.061,3.719
111,aim (target),5.2,5.6,6.714,4.677,5.286
1170,cowboy (wild west),5.364,5.743,5.912,5.618,6.6
1391,destruction,5.353,2.0,5.147,4.229,5.314
2399,holiday,6.909,7.742,6.688,4.625,4.97
220,armadillo,4.029,5.424,4.939,6.559,6.061
5488,wonder,6.516,7.25,6.031,2.313,3.0
627,brown,2.719,4.636,4.906,5.152,6.194
3337,obstacle,4.235,3.543,3.765,4.943,4.914
2788,legion,5.25,5.0,4.6,4.0,3.969
83,advice,4.088,6.229,5.229,2.353,2.882
4404,shot,5.364,3.152,4.909,5.235,5.206
